DATE,Home Price Index,Average Weekly Earning,Trade Balance
2002-01-31,116.436,497.41,-29678.0
2002-02-28,116.917,499.56,-32501.0
2002-03-31,117.93,502.4,-31161.0
2002-04-30,119.209,503.08,-33965.0
2002-05-31,120.788,504.43,-34026.0
2002-06-30,122.332,506.47,-34732.0
2002-07-31,123.685,506.32,-33913.0
2002-08-31,124.728,509.18,-36385.0
2002-09-30,125.492,510.53,-36088.0
2002-10-31,126.135,511.06,-35095.0
2002-11-30,126.641,512.07,-39515.0
2002-12-31,127.15,513.76,-43607.0
2003-01-31,127.651,512.91,-41156.0
2003-02-28,128.326,513.74,-40082.0
2003-03-31,129.308,516.13,-43806.0
2003-04-30,130.489,513.41,-42037.0
2003-05-31,131.839,516.62,-41045.0
2003-06-30,133.225,516.1,-39696.0
2003-07-31,134.64600000000002,517.44,-41321.0
2003-08-31,135.964,519.65,-39892.0
2003-09-30,137.075,517.78,-41842.0
2003-10-31,137.975,519.99,-41388.0
2003-11-30,138.765,522.89,-39898.0
2003-12-31,139.628,519.79,-44080.0
2004-01-31,140.70600000000002,522.69,-44645.0
2004-02-29,142.03,524.91,-44552.0
2004-03-31,144.08100000000002,524.37,-46754.0
2004-04-30,146.179,525.38,-47283.0
2004-05-31,148.333,528.29,-47553.0
2004-06-30,150.517,526.51,-54169.0
2004-07-31,152.336,528.75,-51606.0
2004-08-31,153.813,530.1,-53647.0
2004-09-30,155.107,531.79,-51686.0
2004-10-31,156.299,534.38,-55058.0
2004-11-30,157.497,533.81,-58967.0
2004-12-31,158.671,536.07,-54918.0
2005-01-31,160.131,535.83,-56189.0
2005-02-28,161.925,538.43,-58094.0
2005-03-31,164.577,538.19,-53134.0
2005-04-30,167.0,540.8,-57312.0
2005-05-31,169.545,540.55,-56040.0
2005-06-30,172.015,541.9,-58152.0
2005-07-31,174.097,544.26,-58301.0
2005-08-31,175.922,544.93,-58745.0
2005-09-30,177.61,547.22,-64882.0
2005-10-31,178.752,550.26,-67265.0
2005-11-30,179.675,550.94,-63859.0
2005-12-31,180.108,552.63,-64568.0
2006-01-31,180.829,555.0,-66967.0
2006-02-28,181.501,557.02,-62308.0
2006-03-31,182.75,559.05,-62397.0
2006-04-30,183.649,563.76,-62603.0
2006-05-31,184.381,562.77,-64818.0
2006-06-30,184.548,566.81,-63800.0
2006-07-31,184.608,568.5,-66909.0
2006-08-31,184.405,568.52,-68277.0
2006-09-30,184.199,570.21,-65095.0
2006-10-31,184.056,573.93,-59538.0
2006-11-30,183.634,573.59,-58939.0
2006-12-31,183.232,577.66,-61882.0
2007-01-31,182.72,577.64,-58014.0
2007-02-28,182.472,577.96,-58479.0
2007-03-31,182.194,583.76,-62183.0
2007-04-30,182.132,583.73,-60494.0
2007-05-31,181.886,585.75,-59572.0
2007-06-30,181.542,590.54,-59997.0
2007-07-31,180.995,590.15,-60246.0
2007-08-31,180.237,591.5,-57214.0
2007-09-30,179.12400000000002,593.53,-58158.0
2007-10-31,177.53099999999998,594.2,-57666.0
2007-11-30,175.16299999999998,595.89,-60682.0
2007-12-31,173.34,597.92,-58290.0
2008-01-31,171.08,597.5,-61339.0
2008-02-29,169.19400000000002,599.86,-64225.0
2008-03-31,167.907,604.34,-60200.0
2008-04-30,167.325,603.9,-63733.0
2008-05-31,167.023,605.93,-62310.0
2008-06-30,166.54,607.61,-60889.0
2008-07-31,165.717,608.16,-66989.0
2008-08-31,164.28099999999998,612.67,-62394.0
2008-09-30,161.916,611.52,-60292.0
2008-10-31,159.166,611.38,-60879.0
2008-11-30,156.07299999999998,611.55,-45132.0
2008-12-31,152.545,612.05,-43967.0
2009-01-31,149.362,610.88,-39343.0
2009-02-28,147.61700000000002,614.05,-28778.0
2009-03-31,146.514,612.35,-30193.0
2009-04-30,146.94299999999998,613.01,-30473.0
2009-05-31,148.17,611.49,-25839.0
2009-06-30,149.797,612.48,-27152.0
2009-07-31,150.748,615.33,-33307.0
2009-08-31,150.666,617.98,-31674.0
2009-09-30,149.625,618.97,-35247.0
2009-10-31,148.583,618.42,-34959.0
2009-11-30,147.938,626.04,-38381.0
2009-12-31,146.665,625.16,-39426.0
2010-01-31,145.003,628.7,-37744.0
2010-02-28,143.055,625.92,-41504.0
2010-03-31,143.596,629.7,-40271.0
2010-04-30,145.401,633.26,-41496.0
2010-05-31,147.036,634.93,-42088.0
2010-06-30,147.701,633.37,-47316.0
2010-07-31,147.562,635.94,-41609.0
2010-08-31,146.42600000000002,640.19,-45619.0
2010-09-30,144.607,640.19,-44333.0
2010-10-31,143.129,643.2,-40646.0
2010-11-30,141.821,643.54,-38739.0
2010-12-31,140.635,643.87,-41721.0
2011-01-31,139.047,645.29,-48123.0
2011-02-28,137.744,646.89,-44753.0
2011-03-31,137.795,646.89,-44312.0
2011-04-30,139.16299999999998,650.5,-42685.0
2011-05-31,140.695,652.18,-47725.0
2011-06-30,141.947,652.18,-49882.0
2011-07-31,142.343,656.14,-46070.0
2011-08-31,141.786,652.25,-45052.0
2011-09-30,140.168,654.53,-43477.0
2011-10-31,138.409,659.17,-45509.0
2011-11-30,136.664,657.22,-47460.0
2011-12-31,135.166,659.17,-49473.0
2012-01-31,134.168,662.14,-50126.0
2012-02-29,133.999,660.18,-42780.0
2012-03-31,135.87,661.87,-49749.0
2012-04-30,138.47799999999998,663.22,-46842.0
2012-05-31,141.054,661.25,-45106.0
2012-06-30,143.172,664.56,-42941.0
2012-07-31,144.281,665.24,-42406.0
2012-08-31,144.704,663.26,-44030.0
2012-09-30,144.357,666.59,-38794.0
2012-10-31,143.969,664.94,-41467.0
2012-11-30,143.963,666.62,-45332.0
2012-12-31,143.871,672.62,-36334.0
2013-01-31,144.315,669.98,-40135.0
2013-02-28,145.164,675.66,-41004.0
2013-03-31,147.964,676.34,-34314.0
2013-04-30,150.974,675.35,-38487.0
2013-05-31,153.86700000000002,675.69,-41701.0
2013-06-30,156.436,678.04,-34426.0
2013-07-31,158.297,674.69,-36356.0
2013-08-31,159.405,677.71,-36617.0
2013-09-30,159.68200000000002,681.75,-39917.0
2013-10-31,159.563,680.4,-36285.0
2013-11-30,159.368,684.45,-33983.0
2013-12-31,159.286,683.42,-33636.0
2014-01-31,159.378,683.07,-37433.0
2014-02-28,159.88299999999998,684.7,-40119.0
2014-03-31,161.2,690.85,-42940.0
2014-04-30,162.98,691.52,-43735.0
2014-05-31,164.69299999999998,692.2,-39575.0
2014-06-30,166.22,693.21,-38895.0
2014-07-31,167.142,694.56,-38935.0
2014-08-31,167.456,696.58,-36935.0
2014-09-30,167.24900000000002,696.58,-41672.0
2014-10-31,166.918,697.59,-41067.0
2014-11-30,166.667,701.69,-39808.0
2014-12-31,166.47299999999998,699.66,-42838.0
2015-01-31,166.27,703.04,-38871.0
2015-02-28,166.657,703.04,-33888.0
2015-03-31,168.113,703.66,-48699.0
2015-04-30,169.988,702.58,-39853.0
2015-05-31,171.864,705.26,-38573.0
2015-06-30,173.463,708.04,-42514.0
2015-07-31,174.507,708.71,-40395.0
2015-08-31,174.951,710.4,-44269.0
2015-09-30,175.062,711.41,-41711.0
2015-10-31,175.071,714.1,-40955.0
2015-11-30,175.168,714.44,-40575.0
2015-12-31,175.145,717.91,-41116.0
2016-01-31,175.065,718.15,-40157.0
2016-02-29,175.30900000000003,717.02,-43455.0
2016-03-31,176.62900000000002,719.04,-36917.0
2016-04-30,178.521,721.06,-38127.0
2016-05-31,180.368,721.39,-39150.0
2016-06-30,181.94,723.41,-41873.0
2016-07-31,183.042,725.09,-40148.0
2016-08-31,183.68,725.76,-40421.0
2016-09-30,183.972,727.1,-37237.0
2016-10-31,184.05,729.46,-38765.0
2016-11-30,184.265,729.79,-44083.0
2016-12-31,184.439,729.3,-41143.0
2017-01-31,184.694,731.31,-42946.0
2017-02-28,185.064,734.5,-39811.0
2017-03-31,186.565,732.98,-41476.0
2017-04-30,188.567,739.04,-44357.0
2017-05-31,190.562,738.19,-44126.0
2017-06-30,192.299,742.07,-43001.0
2017-07-31,193.553,741.89,-42007.0
2017-08-31,194.393,742.56,-41162.0
2017-09-30,194.867,745.92,-41465.0
2017-10-31,195.134,747.47,-41615.0
2017-11-30,195.502,751.04,-44623.0
2017-12-31,195.898,751.51,-46149.0
2018-01-31,196.163,751.63,-47056.0
2018-02-28,196.949,757.12,-49149.0
2018-03-31,198.615,757.58,-43981.0
2018-04-30,200.655,762.19,-45105.0
2018-05-31,202.492,764.22,-41185.0
2018-06-30,204.083,766.25,-44871.0
2018-07-31,204.99,767.94,-49512.0
2018-08-31,205.368,770.3,-49738.0
2018-09-30,205.416,770.05,-51773.0
2018-10-31,205.415,771.73,-52345.0
2018-11-30,205.155,775.1,-50547.0
2018-12-31,204.752,778.47,-55687.0
2019-01-31,204.268,781.46,-48818.0
2019-02-28,204.505,779.18,-48032.0
2019-03-31,205.846,784.54,-49777.0
2019-04-30,207.746,786.22,-50074.0
2019-05-31,209.407,786.91,-51904.0
2019-06-30,210.652,788.59,-50390.0
2019-07-31,211.411,790.94,-49959.0
2019-08-31,211.776,794.3,-50388.0
2019-09-30,211.957,795.98,-48262.0
2019-10-31,212.052,798.67,-42720.0
2019-11-30,212.192,797.64,-40596.0
2019-12-31,212.321,798.64,-45421.0
2020-01-31,212.469,802.37,-45452.0
2020-02-29,213.28,807.45,-41639.0
2020-03-31,215.258,806.61,-47157.0
2020-04-30,217.319,842.86,-52959.0
2020-05-31,218.579,852.84,-54915.0
2020-06-30,219.907,839.7,-50675.0
2020-07-31,221.665,838.78,-60743.0
2020-08-31,224.146,843.54,-63733.0
2020-09-30,226.905,845.34,-62625.0
2020-10-31,229.919,849.19,-63678.0
2020-11-30,232.421,852.61,-67307.0
2020-12-31,234.471,860.13,-65802.0
2021-01-31,236.452,864.82,-65696.0
2021-02-28,239.206,857.14,-68180.0
2021-03-31,244.189,869.29,-72222.0
2021-04-30,249.86,872.94,-66659.0
2021-05-31,255.507,878.08,-68538.0
2021-06-30,260.987,877.05,-73230.0
2021-07-31,265.308,884.41,-70303.0
2021-08-31,268.521,886.94,-72813.0
2021-09-30,271.183,894.67,-80934.0
